ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID233081834,4 Pershore Ct,3,h,635000.0,29/07/2017,2.0,1.0,691.0,44.0,-37.68026,144.88468
ID308767452,533 Sayers Rd,4,h,1305000.0,3/06/2017,2.0,0.0,4606.0,22.0,-37.849309999999996,144.6942
ID259085714,25 Fyfe St,2,t,575000.0,27/05/2017,2.0,1.0,151.0,4.0,-37.70426,145.01203999999996
ID597580372,20 York St,3,h,1400000.0,23/09/2017,1.0,6.0,667.0,99.0,-37.72765,144.98953
ID852632997,33 Kensington Rd,3,h,1225000.0,12/08/2017,2.0,2.0,223.0,79.0,-37.794959999999996,144.92659
ID316145820,25 Caldwell Rd,3,h,865000.0,12/08/2017,1.0,2.0,603.0,79.0,-37.835,145.21086
ID624647973,1/26 Thorpe St,3,h,826000.0,3/09/2016,1.0,2.0,281.0,62.0,-37.8457,144.8651
ID976077753,2/48 Inkerman St,2,t,600000.0,15/10/2016,1.0,2.0,127.0,109.0,-37.7859,144.8787
ID521167339,53 Mason St,4,h,1115000.0,18/03/2017,1.0,1.0,0.0,139.0,-37.8423,144.8795
ID597479978,19 Dickens St,3,h,1270000.0,22/08/2016,1.0,1.0,181.0,119.0,-37.8203,145.0092
ID541301208,5/46 Fewster Rd,2,u,691000.0,25/02/2017,1.0,1.0,0.0,22.0,-37.9392,145.0186
ID157545163,16 Banool Rd,3,h,1960000.0,10/12/2016,2.0,2.0,585.0,89.0,-37.8167,145.0924
ID499169109,3/89 Earl St,3,t,835000.0,20/05/2017,2.0,2.0,247.0,12.0,-37.7944,145.0327
ID382142871,14 Tate St,4,h,1601000.0,3/12/2016,3.0,2.0,610.0,49.0,-37.7662,145.04
ID469989793,19 Davis Av,6,h,2835000.0,16/09/2017,3.0,2.0,794.0,49.0,-37.84317,145.05688
ID676377241,373 Liberty Pde,3,h,640000.0,20/05/2017,1.0,2.0,476.0,63.0,-37.7339,145.0405
ID229121404,48 Murray St,3,h,1130000.0,25/02/2017,1.0,3.0,206.0,74.0,-37.7382,144.9563
ID751776303,58 Station St,3,h,780000.0,9/09/2017,1.0,2.0,292.0,64.0,-38.019079999999995,145.09702
ID758195963,49 Berkeley St,3,h,5100000.0,3/12/2016,2.0,3.0,1038.0,14.0,-37.8332,145.0366
ID956609657,8 Goble St,4,h,1130000.0,22/07/2017,2.0,2.0,650.0,44.0,-37.73435,144.8768
ID188471037,188 Cardigan Rd,5,h,872000.0,3/06/2017,2.0,2.0,1254.0,39.0,-37.790259999999996,145.33738
ID767213891,6 Beatrice St,3,h,1735000.0,3/09/2016,2.0,3.0,680.0,84.0,-37.854,145.0832
ID913359730,35 Elizabeth St,3,h,1537000.0,25/02/2017,2.0,2.0,324.0,20.0,-37.9034,145.017
ID741879287,6/82 Patterson St,2,u,700000.0,16/04/2016,1.0,1.0,0.0,49.0,-37.8556,144.9669
ID181049045,11/205 Gipps St,1,u,470000.0,26/07/2016,1.0,1.0,0.0,6.0,-37.8055,144.9961
ID334031721,11/44 Everard St,2,u,431000.0,3/12/2016,1.0,1.0,0.0,104.0,-37.7963,144.8853
ID646265670,2 Raven St,5,h,1510000.0,9/09/2017,2.0,3.0,677.0,49.0,-37.793479999999995,145.15241
ID914502227,386 Station St,3,h,1160000.0,27/11/2016,2.0,2.0,644.0,18.0,-37.7604,145.02100000000004
ID617611276,3/64 Woornack Rd,3,t,860000.0,27/06/2016,1.0,2.0,277.0,41.0,-37.8978,145.0624
ID830206199,34 Barton St,4,h,1850000.0,22/05/2016,2.0,2.0,632.0,69.0,-37.8173,145.1003
ID145505524,1/136 Queen St,2,u,580000.0,8/10/2016,1.0,1.0,225.0,31.0,-37.8696,144.827
ID864737694,28 Papua St,2,h,701000.0,28/05/2016,1.0,2.0,762.0,49.0,-37.7112,145.0861
ID248261621,1/38 Victoria St,2,h,500000.0,28/08/2016,1.0,1.0,113.0,49.0,-37.7424,144.961
